,n,Set,Q,tau,Paper #,"Full Cell 
Thickness [µm]","Cathode 
Thickness [µm]","Anode 
Thickness [µm] ","Separator 
Thickness [µm]"
0,1.3025114672218083,1.0,106.10901964137608,0.4856405607765206,1.0,,500.0,,
1,1.1716655420002715,1.0,105.11247915311726,0.4873564785703251,1.0,,500.0,,
2,0.0,1.0,0.0,0.0,4.0,,550.0,,
3,0.0,2.0,0.0,0.0,4.0,,350.0,,
4,0.0,3.0,0.0,0.0,4.0,,350.0,,
5,0.0,1.0,0.0,0.0,11.0,,60.0,,
6,0.0,2.0,0.0,0.0,11.0,,120.0,,
7,0.0,3.0,0.0,0.0,11.0,,170.0,,
8,0.0,4.0,0.0,0.0,11.0,,120.0,,
9,0.0,5.0,0.0,0.0,11.0,,120.0,,
10,0.0,6.0,0.0,0.0,11.0,,170.0,,
11,2.2239192605851543,1.0,153.77836522746392,0.9472680583217554,17.0,,220.0,,
12,2.2441434797220734,2.0,151.12482760118806,0.5298482563064588,17.0,,220.0,,
13,1.8846550158317736,3.0,152.60645988876902,0.2703646303441631,17.0,,220.0,,
14,0.115141130032443,1.0,196.6459735688808,2.6752521497730133e-06,19.0,,,,
15,4.669976706649833,1.0,127.71669216042348,0.0923020510203634,23.0,,69.0,70.0,
16,4.526731586554696,2.0,127.90635250134471,0.0952588971189461,23.0,,,,
17,2.421714022158162,1.0,135.23203963164056,0.0344672474560777,27.0,,15.0,15.0,30.0
18,2.363978264891105,1.0,306.75765636109674,0.1098812640082921,31.0,,6.0,,
19,1.4028702891568483,2.0,313.6412580593161,0.09451542185141,31.0,,12.0,,
20,,1.0,,,2.0,,,215.0,
21,,2.0,,,2.0,,,415.0,
22,,3.0,,,2.0,,,265.0,
23,,4.0,,,2.0,,,473.0,
24,,5.0,,,2.0,,,457.0,
25,,6.0,,,2.0,,,460.0,
26,,7.0,,,2.0,,,254.0,
27,,8.0,,,2.0,,,266.0,
28,,1.0,,,3.0,,,,
29,,2.0,,,3.0,,,,
30,,1.0,,,5.0,,,,
31,,2.0,,,5.0,,,,
32,,1.0,,,6.0,,200.0,200.0,
33,,2.0,,,6.0,,200.0,200.0,
34,,1.0,,,7.0,0.4,0.2,0.5,
35,,2.0,,,7.0,0.4,0.1,0.5,
36,,3.0,,,7.0,0.4,0.3,0.5,
37,,4.0,,,7.0,0.4,0.4,0.5,
38,,5.0,,,7.0,0.4,0.5,0.5,
39,,1.0,,,9.0,,240.0,,
40,,2.0,,,9.0,,480.0,,
41,,3.0,,,9.0,,240.0,,
42,,4.0,,,9.0,,480.0,,
43,,5.0,,,9.0,480.0,240.0,,
44,,6.0,,,9.0,480.0,240.0,,
45,,1.0,,,14.0,,,6.0,0.025
46,,2.0,,,14.0,,,10.0,0.025
47,,3.0,,,14.0,,,6.0,0.025
48,,4.0,,,14.0,,,10.0,0.025
49,,5.0,,,14.0,,,12.0,0.025
50,,6.0,,,14.0,,,12.0,0.025
51,,7.0,,,14.0,,,10.0,0.025
52,,8.0,,,14.0,,,10.0,0.025
53,,1.0,,,18.0,,200.0,200.0,10.0
54,,2.0,,,18.0,,200.0,200.0,10.0
55,,3.0,,,18.0,,200.0,100.0,10.0
56,,4.0,,,18.0,,200.0,50.0,10.0
57,,1.0,,,22.0,,,,
58,,1.0,,,24.0,,,18.5,
59,,2.0,,,24.0,,,18.5,
60,,3.0,,,24.0,,,18.5,
61,,4.0,,,24.0,,,18.5,
62,,1.0,,,25.0,,64.9,,
63,,2.0,,,25.0,,61.8,,
64,,1.0,,,26.0,500.0,400.0,400.0,
65,,1.0,,,28.0,5.7,0.3,0.1,0.5
66,,1.0,,,29.0,,1060.0,1060.0,100.0
67,,1.0,,,30.0,,,400.0,50.0
68,,2.0,,,30.0,,,400.0,50.0
69,,3.0,,,30.0,,,400.0,50.0
70,,4.0,,,30.0,,,400.0,50.0
71,,1.0,,,32.0,,,200.0,
72,,2.0,,,32.0,,,450.0,
73,,3.0,,,32.0,,,820.0,
74,,1.0,,,33.0,,,0.04,0.3
75,,1.0,,,34.0,0.16,0.07,0.01,
76,,2.0,,,34.0,0.16,0.07,0.01,
77,,3.0,,,34.0,0.16,,,
78,,4.0,,,34.0,0.16,,,
79,,1.0,,,35.0,,14.9,14.9,
80,,2.0,,,35.0,,12.6,12.6,
81,,3.0,,,35.0,,9.9,9.9,
82,,4.0,,,35.0,,15.2,15.2,
83,,5.0,,,35.0,,14.9,14.9,
84,,6.0,,,35.0,,14.7,14.7,
85,,7.0,,,35.0,,14.9,14.9,
86,,8.0,,,35.0,,11.7,11.7,
87,,1.0,,,36.0,,,,
88,,1.0,,,37.0,10.0,10.0,10.0,
89,,2.0,,,37.0,10.0,10.0,10.0,
90,,3.0,,,37.0,10.0,10.0,10.0,
91,,4.0,,,37.0,10.0,10.0,10.0,
